39703;79;6;6;7;96;18
39704;79;20;20;3;76;35
39705;79;4;4;3;72;36
39706;79;4;4;23;68;24
39707;79;6;6;13;62;17
39708;79;7;7;9;55;15
39709;79;16;16;7;39;24
39710;79;10;10;5;29;29
39711;79;11;11;6;18;34
39712;79;4;4;3;14;35
39713;79;6;6;28;8;31
39714;79;2;2;7;6;26
39715;79;5;5;20;1;11
39716;70;1;10;4;0;8
39717;60;0;10;3;0;5
39718;37;0;23;0;0;5
39719;27;0;10;0;0;5
39720;25;0;2;5;0;4
39721;22;0;3;0;0;4
39722;16;0;6;4;0;0
39723;15;0;1;0;0;0
39724;10;0;5;0;0;0
39725;5;0;5;0;0;0
39726;2;0;3;0;0;0
39727;0;0;2;0;0;0
39728;0;0;0;0;0;0
39729;0;0;0;0;0;0
39730;0;0;0;0;0;0
39731;0;0;0;0;0;0
39732;0;0;0;0;0;0
39733;0;0;0;0;0;0
39734;0;0;0;0;0;0
39735;0;0;0;0;0;0
39736;0;0;0;0;0;0
39737;0;0;0;0;0;0
39738;0;0;0;0;0;0
39739;0;0;0;0;0;0
39740;0;0;0;0;0;0
