0;12;14;16;21;22;23;24;28;29;30;38;48;62;
1;12;14;9;13;11;10;6;15;5;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;12;14;9;13;11;10;6;15;5;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;12;14;16;13;11;9;10;15;5;8;2;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;10;14;9;13;11;12;6;5;15;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;12;14;16;13;11;5;10;9;15;8;2;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;12;14;16;13;11;5;10;9;15;8;2;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;12;14;16;13;11;8;10;9;15;7;2;5;4;1;1;1;1;1;1;1;0;1;1;1;0;1;0.755948
8;12;14;16;13;11;9;10;15;8;7;2;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;12;14;16;13;11;9;10;15;8;7;2;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;12;9;16;10;13;14;11;15;8;7;2;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;12;16;9;10;13;14;11;15;8;7;2;5;4;1;1;1;0;1;0;1;1;1;1;1;1;1;0.775884
12;12;14;16;13;11;10;9;15;7;8;2;5;4;1;1;1;1;1;0;0;1;1;1;1;1;1;1
13;10;16;9;14;11;13;12;15;8;7;2;5;4;0;0;1;0;0;1;0;1;1;1;1;1;1;0.51781
14;12;14;16;13;11;10;9;15;7;8;2;5;4;1;1;1;1;1;0;0;1;1;1;1;1;1;1
15;12;14;16;13;11;9;10;15;8;7;2;5;4;1;1;1;1;1;1;1;1;0;1;1;1;1;0.88395
16;12;14;16;13;11;10;9;15;7;8;2;5;4;1;1;1;1;1;1;1;1;1;1;0;1;1;1
17;10;14;9;13;11;12;6;15;8;7;16;5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;12;14;9;13;11;6;10;15;5;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
19;12;14;9;13;11;6;10;15;5;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
20;12;14;9;13;11;6;10;5;15;8;16;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;12;14;16;13;11;10;9;15;7;8;2;5;4;1;1;1;0;0;0;0;1;1;1;1;1;1;0
22;12;14;16;11;13;10;9;15;7;8;2;5;4;1;1;1;0;0;0;0;1;1;1;1;1;1;0
23;12;14;16;11;10;13;9;15;7;8;2;5;4;1;1;1;0;0;0;0;1;1;1;1;1;1;0
24;12;14;16;11;10;9;13;15;7;8;2;5;4;1;1;1;1;0;0;0;1;1;1;1;1;1;0
25;12;16;9;10;14;11;13;15;8;7;2;5;4;1;1;1;0;1;1;0;1;1;1;1;1;1;0.678992
26;12;16;9;10;13;14;11;15;8;7;2;5;4;1;1;1;0;1;0;1;1;1;1;1;1;1;0.790695
